pk,name,category,direct_parents
10870,Ben Lomond,other,1081
10871,Boulder Creek,other,1081
10872,Day Valley,other,1081
10873,Soquel,other,1081
10874,Aptos,other,1081
10875,Lompico,other,1081
10876,Capitola,other,1081
10877,Felton,other,1081
10878,Interlaken,other,1081
10879,Pleasure Point,other,1081
10880,Amesti,other,1081
10881,Corralitos,other,1081
10882,Scotts Valley,other,1081
10883,Salmon Creek,other,1082
10884,Boyes Hot Springs,other,1082
10885,Graton,other,1082
10886,Sereno del Mar,other,1082
10887,Bodega,other,1082
10888,Sonoma State University,other,1082
10889,Carmet,other,1082
10890,Healdsburg,other,1082
10891,Monte Rio,other,1082
10892,Petaluma,other,1082
10893,Jenner,other,1082
10894,Valley Ford,other,1082
10895,Eldridge,other,1082
10896,Sea Ranch,other,1082
10897,Rohnert Park,other,1082
10898,Windsor,other,1082
10899,Cloverdale,other,1082
10900,Cotati,other,1082
10901,Fetters Hot Springs-Agua Caliente,other,1082
10902,Glen Ellen,other,1082
10903,Occidental,other,1082
10904,Temelec,other,1082
10905,Cazadero,other,1082
10906,Fulton,other,1082
10907,Kenwood,other,1082
10908,Timber Cove,other,1082
10909,Geyserville,other,1082
10910,Bloomfield,other,1082
10911,Penngrove,other,1082
10912,El Verano,other,1082
10913,Forestville,other,1082
10914,Bodega Bay,other,1082
10915,Sebastopol,other,1082
10916,Larkfield-Wikiup,other,1082
10917,Sonoma,other,1082
10918,Santa Rosa,other,1082
10919,Petaluma Center,other,1082
10920,Guerneville,other,1082
10921,Potter Valley,other,1083
10922,Talmage,other,1083
10923,Cleone,other,1083
10924,Little River,other,1083
10925,Leggett,other,1083
10926,Manchester,other,1083
10927,Ukiah,other,1083
10928,Covelo,other,1083
10929,Boonville,other,1083
10930,Philo,other,1083
10931,Hopland,other,1083
10932,Brooktrails,other,1083
10933,Calpella,other,1083
10934,Comptche,other,1083
10935,Laytonville,other,1083
10936,Anchor Bay,other,1083
10937,Albion,other,1083
10938,Redwood Valley,other,1083
10939,Mendocino,other,1083
10940,Point Arena,other,1083
10941,Caspar,other,1083
10942,Willits,other,1083
10943,Fort Bragg,other,1083
10944,Weitchpec,other,1084
10945,Myers Flat,other,1084
10946,Redway,other,1084
10947,Wautec,other,1084
10948,Cutten,other,1084
10949,Bayview,other,"1084,2197"
10950,Willow Creek,other,1084
10951,Weott,other,1084
10952,Fields Landing,other,1084
10953,Ferndale,other,1084
10954,Phillipsville,other,1084
10955,Redcrest,other,1084
10956,Samoa,other,1084
10957,Big Lagoon,other,1084
10958,Orick,other,1084
10959,Eureka,other,1084
10960,Fairhaven,other,1084
10961,Hoopa,other,1084
10962,Rio Dell,other,1084
10963,McKinleyville,other,1084
10964,Myrtletown,other,1084
10965,Miranda,other,1084
10966,Alderpoint,other,1084
10967,Scotia,other,1084
10968,Benbow,other,1084
10969,Manila,other,1084
10970,Humboldt Hill,other,1084
10971,Hydesville,other,1084
10972,Loleta,other,1084
10973,Shelter Cove,other,1084
10974,Kep'el,other,1084
10975,Indianola,other,1084
10976,Arcata,other,1084
10977,Blue Lake,other,1084
10978,Fieldbrook,other,1084
